ds,yhat,yhat_lower,yhat_upper,recession
1974-07-01,0.36161677265196784,-0.43994037945253267,1.1604124868336854,Non-recessionary Period
1974-08-01,0.44207085116439815,-0.35144127776758627,1.2454370510875927,Non-recessionary Period
1974-09-01,0.5786028513036778,-0.2162937857067337,1.3869229465318242,Non-recessionary Period
1974-10-01,0.7259041464539854,-0.08486658688361974,1.5241358478770437,Non-recessionary Period
1974-11-01,0.8215864178338947,0.01734103466473273,1.627102748009503,Non-recessionary Period
1974-12-01,0.9144493102623805,0.10387834757419512,1.7258448894627647,Non-recessionary Period
1975-01-01,1.0963054058118848,0.2858553573453346,1.8959980430918697,Non-recessionary Period
1975-02-01,1.257201146139637,0.432157982366347,2.0533646317465095,Non-recessionary Period
1975-03-01,1.385741499657485,0.585909380774997,2.2041543503563417,Non-recessionary Period
1975-04-01,1.6013998331881576,0.7878395380916593,2.40216182480362,Non-recessionary Period
1975-05-01,1.792661817383352,0.9998447986431491,2.5895800515258975,Non-recessionary Period
1975-06-01,1.893014066476865,1.0887805246838722,2.703136505385412,Non-recessionary Period
1975-07-01,1.9587484345120396,1.1373532014633876,2.7564663410854475,Non-recessionary Period
1975-08-01,2.0380561487005395,1.2359665605065135,2.8532721670865877,Non-recessionary Period
1975-09-01,2.1693010311144407,1.3675697125481612,2.9680927670123944,Non-recessionary Period
1975-10-01,2.3234313603387258,1.5090274083980704,3.124373417823408,Non-recessionary Period
1975-11-01,2.4177770865768595,1.6048510083132421,3.2183045159560333,Non-recessionary Period
1975-12-01,2.5080563561434484,1.6950125851155524,3.314151395160219,Non-recessionary Period
1976-01-01,2.689564669852005,1.8855986049237035,3.4826384505397434,Non-recessionary Period
1976-02-01,2.8460125830947494,2.036306579018359,3.648138106232624,Non-recessionary Period
1976-03-01,2.9865869436240975,2.185749001825254,3.789508752866311,Non-recessionary Period
1976-04-01,3.211156507536395,2.399929391989037,4.010017323269735,Non-recessionary Period
1976-05-01,3.2689995690425078,2.4710027683471347,4.062482586662604,Non-recessionary Period
1976-06-01,3.1407407841760744,2.34001893295609,3.950478842957475,Non-recessionary Period
1976-07-01,2.9769004107731707,2.172030330156592,3.782803703023028,Non-recessionary Period
1976-08-01,2.8289118768606905,2.0387195783233705,3.6333972395835543,Non-recessionary Period
1976-09-01,2.741007365923836,1.9318276944441295,3.558096152659716,Non-recessionary Period
1976-10-01,2.663003984431405,1.8641386873885775,3.4708343778515554,Non-recessionary Period
1976-11-01,2.532022370486362,1.723715643160825,3.336239293494229,Non-recessionary Period
1976-12-01,2.4066935290813056,1.603722027054136,3.205479024707238,Non-recessionary Period
1977-01-01,2.348764038488909,1.5375680362424797,3.1495293152269643,Non-recessionary Period
1977-02-01,2.2947338300948483,1.4803305933465598,3.102376435659891,Non-recessionary Period
1977-03-01,2.211281324373734,1.4022570932069984,3.0210001049019564,Non-recessionary Period
1977-04-01,2.2034496851992853,1.4179399070896235,3.0221552377065697,Non-recessionary Period
1977-05-01,2.1668623921728245,1.370853897646013,2.978543713599536,Non-recessionary Period
1977-06-01,2.0380241801440295,1.236866128864444,2.843169245299876,Non-recessionary Period
1977-07-01,1.873678327282336,1.0775310409871455,2.6822049968416253,Non-recessionary Period
1977-08-01,1.7289465348451833,0.9134056636811948,2.5401413949701452,Non-recessionary Period
1977-09-01,1.6383979069736234,0.8376328602161196,2.4471162695006266,Non-recessionary Period
1977-10-01,1.5583218155439778,0.7640802025145007,2.3500534394750052,Non-recessionary Period
