"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"USA","BCI","AMPLITUD","LTRENDIDX","M","1971-05",100.2226,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1971-06",100.215,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1971-07",100.2114,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1971-08",100.2052,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1971-09",100.2493,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1971-10",100.2726,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1971-11",100.3909,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1971-12",100.8601,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1972-01",101.319,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1972-02",101.5739,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1972-03",101.6126,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1972-04",101.5859,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1972-05",101.5801,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1972-06",101.525,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1972-07",101.6969,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1972-08",102.1109,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1972-09",102.7038,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1972-10",103.2991,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1972-11",103.8177,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1972-12",104.1321,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1973-01",104.234,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1973-02",104.0614,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1973-03",103.7753,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1973-04",103.3414,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1973-05",102.8155,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1973-06",102.3284,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1973-07",101.9261,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1973-08",102.1037,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1973-09",102.5053,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1973-10",102.9046,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1973-11",102.9934,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1973-12",102.6203,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1974-01",102.1512,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1974-02",101.7786,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1974-03",101.6358,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1974-04",101.341,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1974-05",100.898,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1974-06",100.5407,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1974-07",100.1835,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1974-08",99.54143,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1974-09",98.5112,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1974-10",97.36407,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1974-11",96.19122,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1974-12",95.22308,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1975-01",94.86693,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1975-02",95.01936,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1975-03",95.37514,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1975-04",96.14993,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1975-05",97.06216,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1975-06",97.95383,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1975-07",98.75333,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1975-08",99.5062,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1975-09",100.0723,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1975-10",100.3666,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1975-11",100.502,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1975-12",100.7558,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1976-01",101.1977,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1976-02",101.5301,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1976-03",101.5696,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1976-04",101.552,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1976-05",101.3607,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1976-06",101.0639,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1976-07",100.6806,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1976-08",100.3353,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1976-09",100.0973,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1976-10",99.99493,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1976-11",100.0407,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1976-12",100.3099,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1977-01",100.4692,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1977-02",100.6663,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1977-03",100.9448,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1977-04",101.0947,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1977-05",101.1779,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1977-06",101.0237,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1977-07",100.8075,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1977-08",100.5193,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1977-09",100.393,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1977-10",100.5318,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1977-11",100.7984,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1977-12",101.031,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1978-01",100.942,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1978-02",100.7606,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1978-03",100.7544,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1978-04",101.0557,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1978-05",101.455,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1978-06",101.738,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1978-07",101.878,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1978-08",101.8239,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1978-09",101.7619,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1978-10",101.7205,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1978-11",101.6795,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1978-12",101.5174,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1979-01",101.3355,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1979-02",101.171,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1979-03",100.9659,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1979-04",100.6607,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1979-05",100.281,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1979-06",99.88826,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1979-07",99.5336,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1979-08",99.24834,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1979-09",99.0677,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1979-10",98.89017,
